attack_stage,technique_name,mitre_id,attack_command,log_source,detection_query,severity,response_action
Initial Access,User Execution Malicious File,T1204.002,"Invoke-AtomicTest T1204.002 -TestNumbers 1","Sysmon EID 11; Sysmon EID 1; Security 4688","DET-IA-001 (SPL/Wazuh below)",High,"Isolate host from network; quarantine file hash; reset labuser password"
Initial Access,Spearphishing Attachment,T1566.001,"Copy-Item calc.exe Downloads\invoice.exe; Start-Process","Sysmon EID 11; Sysmon EID 1","DET-IA-002",Medium,"Remove file; block source IP on host-only router; user awareness replay"
Execution,PowerShell,T1059.001,"Invoke-AtomicTest T1059.001 -TestNumbers 1","Sysmon EID 1; PowerShell 4104","DET-EX-001",High,"Kill process tree; disable PowerShell for user; hunt for persistence"
Execution,Command Shell,T1059.003,"Invoke-AtomicTest T1059.003 -TestNumbers 1","Sysmon EID 1; Security 4688","DET-EX-003",Medium,"Terminate cmd parent; review 4688 chain for lateral movement"
Execution,JavaScript,T1059.007,"Invoke-AtomicTest T1059.007 -TestNumbers 1","Sysmon EID 1 (mshta/wscript)","DET-EX-002",High,"Kill wscript/mshta; clear TEMP; scan with AV snapshot"
Persistence,Registry Run Keys,T1547.001,"Invoke-AtomicTest T1547.001 -TestNumbers 1","Sysmon EID 12/13; Security 4657","DET-PE-001",High,"Delete Run key value; reboot; verify no startup item"
Persistence,Scheduled Task,T1053.005,"Invoke-AtomicTest T1053.005 -TestNumbers 1","Security 4698; Sysmon EID 1 schtasks","DET-PE-002",High,"schtasks /delete; audit all tasks; check WMI subscriptions"
Persistence,Windows Service,T1543.003,"Invoke-AtomicTest T1543.003 -TestNumbers 1","System 7045; Sysmon EID 1","DET-PE-003",Critical,"Stop and delete service; compare baseline services; full AV scan"
Privilege Escalation,Bypass UAC,T1548.002,"Invoke-AtomicTest T1548.002 -TestNumbers 1","Sysmon EID 1; Registry; Security 4672","DET-PR-002",Critical,"Revoke admin sessions; patch; enforce UAC AlwaysNotify"
Privilege Escalation,Access Token Manipulation,T1134.001,"Invoke-AtomicTest T1134.001 -TestNumbers 1","Sysmon EID 10; Security 4672","DET-PR-001",Critical,"Force logoff; reset Kerberos tickets (domain); isolate endpoint"
Privilege Escalation,Abuse Elevation Control Mechanism,T1548,"Start-Process powershell -Verb RunAs","Security 4624/4625; 4672","DET-PR-003",Medium,"Review failed elevation; lock labadmin if abuse confirmed"
Exfiltration,Exfiltration Over C2 Channel,T1041,"Invoke-AtomicTest T1041 -TestNumbers 1","Sysmon EID 3","DET-EXF-002",Critical,"Block egress to destination IP; preserve PCAP; scope staged files"
Exfiltration,Exfiltration Over HTTP,T1048.003,"Invoke-AtomicTest T1048.003 -TestNumbers 1","Sysmon EID 3","DET-EXF-001",High,"Block HTTP to non-allowlist; identify data classification; notify IR lead"
Exfiltration,Automated Exfiltration,T1020,"Invoke-WebRequest POST staging.txt to 192.168.56.20:8080","Sysmon EID 3; Sysmon EID 11","DET-EXF-003",High,"Revoke credentials; DLP review; restore from golden snapshot if needed"
